label,model,points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,crop_n_layers,candidates,tp,fp,fn,precision,recall,f1,f1_strict,mean_iou,pq,small_recall,runner_seconds,peak_rss_mib,job_seconds,run_url,head_sha
A01-default,sam2,48,8,0.85,0.9,0,327,310,17,59,0.9480122324159022,0.8401084010840109,0.8908045977011494,0.8879310344827587,0.9692302013941373,0.8633947196327085,0.5609756097560976,400.78,5808.5234375,425.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34745480003,85627b54a1a3b5505d5b54f871c3321ffc315c3d
A02-tiled32,sam2_tiled,32,8,0.85,0.9,0,434,330,104,39,0.7603686635944701,0.8943089430894309,0.821917808219178,0.8094645080946451,0.9355196727054665,0.7689202789359999,0.7073170731707317,456.15,2400.4296875,476.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34745489589,85627b54a1a3b5505d5b54f871c3321ffc315c3d
A03-whole32,sam2,32,8,0.85,0.9,0,257,246,11,123,0.9571984435797666,0.6666666666666666,0.7859424920127795,0.7827476038338658,0.9643715143831815,0.7579405512404557,0.25203252032520324,199.58,4641.95703125,221.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34745801228,85627b54a1a3b5505d5b54f871c3321ffc315c3d
A04-whole64,sam2,64,8,0.85,0.9,0,355,333,22,36,0.9380281690140845,0.9024390243902439,0.919889502762431,0.9116022099447514,0.96079436678527,0.8838246523190466,0.7235772357723578,862.75,6555.65625,879.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34745836108,85627b54a1a3b5505d5b54f871c3321ffc315c3d
A05-tiled48,sam2_tiled,48,8,0.85,0.9,0,505,354,151,15,0.700990099009901,0.959349593495935,0.8100686498855835,0.7917620137299771,0.9291886081278348,0.7527065612751797,0.8861788617886179,1092.88,2666.5703125,1116.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34745976448,85627b54a1a3b5505d5b54f871c3321ffc315c3d
B01-whole64-iou75,sam2,64,8,0.75,0.9,0,379,341,38,28,0.899736147757256,0.924119241192412,0.9117647058823529,0.9010695187165776,0.9574101748286022,0.8729328064613726,0.7804878048780488,695.32,6896.10546875,717.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34746437239,85627b54a1a3b5505d5b54f871c3321ffc315c3d
B02-whole64-stability85,sam2,64,8,0.85,0.85,0,365,334,31,35,0.915068493150685,0.9051490514905149,0.9100817438692098,0.9019073569482289,0.9609365314574717,0.8745307942964456,0.7317073170731707,943.79,6801.0703125,958.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34746742675,85627b54a1a3b5505d5b54f871c3321ffc315c3d
B03-whole64-stability95,sam2,64,8,0.85,0.95,0,329,321,8,48,0.9756838905775076,0.8699186991869918,0.9197707736389685,0.9169054441260746,0.9635490439518265,0.8862442495946599,0.6666666666666666,911.6,5948.15234375,934.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34746959152,85627b54a1a3b5505d5b54f871c3321ffc315c3d
B04-tiled32-iou95,sam2_tiled,32,8,0.95,0.9,0,367,317,50,52,0.8637602179836512,0.8590785907859079,0.8614130434782609,0.8586956521739131,0.9404604097281231,0.8101248638147147,0.6178861788617886,671.03,2242.58984375,685.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34747417981,85627b54a1a3b5505d5b54f871c3321ffc315c3d
B05-whole64-iou90,sam2,64,8,0.9,0.9,0,330,319,11,50,0.9666666666666667,0.8644986449864499,0.9127324749642346,0.9070100143061517,0.9622813388559732,0.8783054280259098,0.6260162601626016,944.5,6186.12890625,960.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34747636448,85627b54a1a3b5505d5b54f871c3321ffc315c3d
B06-whole48-relaxed,sam2,48,8,0.8,0.85,0,346,313,33,56,0.9046242774566474,0.8482384823848238,0.8755244755244755,0.8755244755244755,0.9690953022205364,0.8484666562098683,0.5853658536585366,525.11,6203.0,550.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34747923081,85627b54a1a3b5505d5b54f871c3321ffc315c3d
B07-tiled48-strict,sam2_tiled,48,8,0.95,0.95,0,380,328,52,41,0.8631578947368421,0.8888888888888888,0.8758344459279038,0.8731642189586115,0.9385333223134498,0.8219998123332751,0.7073170731707317,1567.99,2409.2734375,1590.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34749128728,9f789c6107567d5d692531e4ad07b93cd1ebac89
C01-whole56,sam2,56,8,0.85,0.9,0,344,325,19,44,0.9447674418604651,0.8807588075880759,0.9116409537166901,0.9032258064516129,0.9607155771903458,0.8758276650402872,0.6666666666666666,564.11,6225.2890625,587.0,https://github.com/yanxinyi620/CruxSet/actions/runs/34748337865,85627b54a1a3b5505d5b54f871c3321ffc315c3d
